text,category
Внесок на ремонт під'їзду,Комунальні послуги
Платіж за Укртелеком,Комунальні послуги
Заплатив за газ,Комунальні послуги
Рахунок за загальнобудинкові потреби,Комунальні послуги
Домашній телефон,Комунальні послуги
Телебачення,Комунальні послуги
Внесок за консьєржа,Комунальні послуги
Оплата сервісу Lanet,Комунальні послуги
Рахунок за жовтень,Комунальні послуги
Енергозбут,Комунальні послуги
Центральне опалення,Комунальні послуги
Інтернет Triolan,Комунальні послуги
Плата за квартиру,Комунальні послуги
Платіж ОСМД,Комунальні послуги
Послуги ЖКГ,Комунальні послуги
Домофон,Комунальні послуги
Кабельне ТБ,Комунальні послуги
Заборгованість за комуналку,Комунальні послуги
Обслуговування прибудинкової території,Комунальні послуги
Послуги Водоканалу,Комунальні послуги
Внески,Комунальні послуги
Оплата за комунальні,Комунальні послуги
Рахунок за грудень,Комунальні послуги
Послуги Теплокомуненерго,Комунальні послуги
Заплатив за воду,Комунальні послуги
Інтернет,Комунальні послуги
Житлові послуги,Комунальні послуги
Електрика,Комунальні послуги
Оплата сміття,Комунальні послуги
Послуги РЕО,Комунальні послуги
Комуналка,Комунальні послуги
Оплата за квартиру,Комунальні послуги
Заміна лічильника,Комунальні послуги
Сплата за ЖКП,Комунальні послуги
Оплата гарячої води,Комунальні послуги
Внесок на ОСББ,Комунальні послуги
Рахунок за газ (за травень),Комунальні послуги
Світло по лічильнику,Комунальні послуги
Інтернет та ТБ,Комунальні послуги
Квартплата,Комунальні послуги
Обслуговування будинку,Комунальні послуги
Вивіз сміття (річний внесок),Комунальні послуги
Кабельне ТБ,Комунальні послуги
Холодна вода,Комунальні послуги
Оплата електроенергії (квітень),Комунальні послуги
Рахунок за газ (Нафтогаз),Комунальні послуги
Квартплата (внесок),Комунальні послуги
Послуги інтернет-провайдера,Комунальні послуги
Вивіз сміття (щомісячний),Комунальні послуги
Внесок ОСББ за утримання будинку,Комунальні послуги
Опалення за листопад,Комунальні послуги
Оплата квитанції за світло,Комунальні послуги
Внесок ОСББ,Комунальні послуги
Інтернет,Комунальні послуги
Квартплата,Комунальні послуги
Комунальні,Комунальні послуги
Світло,Комунальні послуги
Рахунки,Комунальні послуги
Газ,Комунальні послуги
Опалення,Комунальні послуги
Житло,Комунальні послуги
Оплата за квартиру,Комунальні послуги
Комунальні платежі,Комунальні послуги
Вода,Комунальні послуги
Рахунок за воду,Комунальні послуги
Комуналка,Комунальні послуги
Обслуговування будинку,Комунальні послуги
Внесок на ОСББ,Комунальні послуги
Рахунок за газ,Комунальні послуги
Опалення,Комунальні послуги
Послуги ОСББ,Комунальні послуги
Квиток у кінотеатр Планета Кіно,Розваги
Підписка на Netflix,Розваги
Придбав гру в Steam,Розваги
Квитки на концерт гурту Океан Ельзи,Розваги
Вхід у нічний клуб,Розваги
Абонемент на квест-кімнату,Розваги
Купівля книги на Yakaboo,Розваги
Підписка на Spotify Premium,Розваги
Квиток у театр,Розваги
Оплата онлайн-гри,Розваги
Відвідування музею,Розваги
Оренда приставки Sony PlayStation,Розваги
Квиток у зоопарк,Розваги
Квитки на футбольний матч,Розваги
Вечір у боулінгу,Розваги
Перегляд фільму на Megogo,Розваги
Підписка на YouTube Premium,Розваги
Оплата VR-клубу,Розваги
Квиток на виставку,Розваги
Прокат лиж та сноуборда,Розваги
Атракціони у парку,Розваги
Заплатив за більярд,Розваги
Придбав комікс,Розваги
Музика,Розваги
Ігри,Розваги
Підписка на онлайн-журнал,Розваги
Квиток на стендап-шоу,Розваги
Відвідування аквапарку,Розваги
Білет на матч Динамо Київ,Розваги
Купівля в PlayStation Store,Розваги
Картинг,Розваги
Цирк,Розваги
Оплата абонементу в кіно,Розваги
Придбав настільну гру,Розваги
Квитки на балет,Розваги
Донат на Twitch,Розваги
Караоке,Розваги
Вхідний квиток,Розваги
Художній майстер-клас,Розваги
Парк розваг,Розваги
Оплата стрімінгу,Розваги
Квиток на шоу,Розваги
Підписка на сервіс курси,Розваги
Купівля електронної книги,Розваги
Оплата абонемента в клуб,Розваги
Квитки на оперу,Розваги
Прокат ковзанів,Розваги
Оплата ігрового сервера,Розваги
Розділ розваги,Розваги
Придбав фотоальбом,Розваги
Квиток на фестиваль,Розваги
Поповнення ігрового балансу,Розваги
Абонемент на курси танців,Розваги
Придбав пазл,Розваги
Оплата доступу до бібліотеки фільмів,Розваги
Квиток на форум,Розваги
Дискотека,Розваги
Кальян-бар,Розваги
Квиток на виставу,Розваги
Спортивні змагання,Розваги
Покупка музики,Розваги
Придбав альбом,Розваги
Послуги гіда,Розваги
Оплата підписки на Patreon,Розваги
Абонемент у театр,Розваги
Підписка на Disney+,Розваги
Квиток на виставу,Розваги
Придбав гру для PS5,Розваги
Абонемент на боулінг,Розваги
Донат на Twitch,Розваги
Кіно,Розваги
Ігри,Розваги
Підписка,Розваги
Абонемент,Розваги
Театр,Розваги
Музей,Розваги
Донат,Розваги
Концерт,Розваги
Стримінг,Розваги
Білет,Розваги
Абонемент у басейн,Розваги
Квиток на футбольний матч,Розваги
Придбав квитки в кінотеатр,Розваги
Прокат сноуборда,Розваги
Підписка на стрімінг,Розваги
Придбав настільну гру,Розваги
Вхідний квиток у клуб,Розваги
Донат стримеру,Розваги
Квиток на концерт,Розваги
Відвідування зоопарку,Розваги
Квиток у кіно,Розваги
Підписка Netflix,Розваги
Придбав гру в Steam,Розваги
Абонемент у спортзал,Розваги
Квиток на концерт,Розваги
Перегляд фільму на Megogo,Розваги
Квиток у театр,Розваги
Підписка на Spotify (річна),Розваги
Квиток у кінотеатр,Розваги
Абонемент у спортзал,Розваги
Придбав гру в Steam (Cyberpunk),Розваги
Квиток на концерт,Розваги
Перегляд фільму на Megogo,Розваги
Квиток у театр,Розваги
Прийом у стоматолога,Здоров'я
Ліки в аптеці Доброго Дня,Здоров'я
Аналізи крові в Сінево,Здоров'я
Оплата консультації лікаря,Здоров'я
Придбав вітаміни,Здоров'я
Абонемент у спортзал SportLife,Здоров'я
Масаж спини,Здоров'я
Оплата операції,Здоров'я
Придбав тонометр,Здоров'я
Відвідування терапевта,Здоров'я
Медична страховка,Здоров'я
Окуляри для зору,Здоров'я
Процедури в клініці,Здоров'я
Придбав контактні лінзи,Здоров'я
Чек з Аптека 911,Здоров'я
Купівля ортезу,Здоров'я
Обстеження УЗД,Здоров'я
Реабілітація,Здоров'я
Стоматологічні послуги,Здоров'я
Візит до ЛОРа,Здоров'я
Придбав пластир та бинт,Здоров'я
Заняття з фітнесу,Здоров'я
Аналізи,Здоров'я
Уколи,Здоров'я
Добавки та БАДи,Здоров'я
Придбав противірусні,Здоров'я
Оплата послуг лікаря,Здоров'я
ЕКГ,Здоров'я
Лікарняний рахунок,Здоров'я
Зубний лікар,Здоров'я
Придбав термометр,Здоров'я
Оплата прийому,Здоров'я
Лікування,Здоров'я
Медикаменти,Здоров'я
Профілактичний огляд,Здоров'я
Засоби від застуди,Здоров'я
Придбав шампунь від лупи,Здоров'я
Косметологічні процедури (лікування),Здоров'я
Діагностика,Здоров'я
Аптечка,Здоров'я
Придбав гель для суглобів,Здоров'я
Сеанс психотерапії,Здоров'я
Відвідування дерматолога,Здоров'я
Курс масажу,Здоров'я
Лабораторія,Здоров'я
Придбав інгалятор,Здоров'я
Прийом у кардіолога,Здоров'я
Пластична операція (медичні),Здоров'я
Оплата процедур,Здоров'я
Фізіотерапія,Здоров'я
Засоби гігієни (спеціальні),Здоров'я
Консультація дієтолога,Здоров'я
Придбав лінзи,Здоров'я
Обстеження,Здоров'я
Оплата рентгену,Здоров'я
Приватна клініка,Здоров'я
Придбав спеціальне харчування,Здоров'я
Медичний центр,Здоров'я
Ліки для дитини,Здоров'я
Придбав бандаж,Здоров'я
Послуги хірурга,Здоров'я
Вакцинація,Здоров'я
Відновлення після травми,Здоров'я
Здача крові,Здоров'я
Санаторій,Здоров'я
Оплата аналізів,Здоров'я
Капсули та таблетки,Здоров'я
Ліки для дитини в аптеці,Здоров'я
Масаж (лікувальний),Здоров'я
Прийом у хірурга,Здоров'я
Придбав вітаміни для імунітету,Здоров'я
Здав аналізи,Здоров'я
Аптека,Здоров'я
Лікар,Здоров'я
Вітаміни,Здоров'я
Аналізи,Здоров'я
Спортзал,Здоров'я
Масаж,Здоров'я
Стоматолог,Здоров'я
Медична страховка,Здоров'я
Ліки,Здоров'я
Прийом,Здоров'я
Ліки (антибіотики) в аптеці,Здоров'я
Прийом у стоматолога (лікування карієсу),Здоров'я
Аналізи крові в лабораторії,Здоров'я
Придбав вітаміни для імунітету,Здоров'я
Оплата консультації лікаря,Здоров'я
Масаж,Здоров'я
Обстеження УЗД,Здоров'я
Медична довідка,Здоров'я
Оплата процедур,Здоров'я
Придбав ортопедичні устілки,Здоров'я
Сеанс психотерапії,Здоров'я
Прийом у ЛОРа,Здоров'я
Аналізи (пакет),Здоров'я
Стоматологічні послуги,Здоров'я
Придбав вітаміни та добавки,Здоров'я
Масаж (10 сеансів),Здоров'я
Обстеження,Здоров'я
Медична довідка,Здоров'я
Окуляри,Здоров'я
Сеанс психотерапії,Здоров'я
Оплата курсу англійської,Освіта
Річний абонемент на Coursera,Освіта
Придбав підручники для ВНЗ,Освіта
Оплата за навчання в університеті,Освіта
Індивідуальні заняття з репетитором,Освіта
Онлайн-курс з Python,Освіта
Майстер-клас по дизайну,Освіта
Навчання в автошколі,Освіта
Придбав книгу по програмуванню,Освіта
Оплата за дитячий садок,Освіта
Реєстраційний внесок на конференцію,Освіта
Курс SMM,Освіта
Навчання у школі (внески),Освіта
Оплата за школу,Освіта
Підписка на навчальний портал,Освіта
Підготовка до IELTS,Освіта
Придбав зошити та ручки,Освіта
Уроки вокалу,Освіта
Семінар з маркетингу,Освіта
Сертифікація ITIL,Освіта
Оплата за курси підвищення кваліфікації,Освіта
Мовна школа,Освіта
Репетитор з математики,Освіта
Оплатив навчальний посібник,Освіта
Тренінг з продажів,Освіта
Курс по відеомонтажу,Освіта
Навчання в іноземній школі,Освіта
Сплата за університет,Освіта
Курси для дітей,Освіта
Внесок за університет,Освіта
Навчальні матеріали,Освіта
Підписка на журнал (науковий),Освіта
Бібліотечний абонемент,Освіта
Навчальний кемп,Освіта
Оплата за семестр,Освіта
Уроки гри на гітарі,Освіта
Оплата курсів,Освіта
Курс UI/UX,Освіта
Придбав олівці,Освіта
Література для навчання,Освіта
Заняття з дитиною,Освіта
Навчання в магістратурі,Освіта
Курс 1С Бухгалтерія,Освіта
Оплата за екзамен,Освіта
Професійний тренінг,Освіта
Школа танців,Освіта
Репетитор,Освіта
Онлайн-бібліотека,Освіта
Оплата дипломної роботи,Освіта
Курс ораторського мистецтва,Освіта
Уроки плавання (навчання),Освіта
Студентський внесок,Освіта
Підписка на Udemy,Освіта
Лекції,Освіта
Придбав планшет для навчання,Освіта
Оплата за іспит TOEFL,Освіта
Курси програмування,Освіта
Заняття в студії,Освіта
Підручники,Освіта
Семінар,Освіта
Оплатив навчання,Освіта
Шкільні товари,Освіта
Курс веб-розробки,Освіта
Навчальні поїздки,Освіта
Реєстрація на курс,Освіта
Оплата за сесію,Освіта
Придбав маркер,Освіта
Коледж,Освіта
Школа,Освіта
Оплата курсу Python,Освіта
Навчання в університеті (семестр),Освіта
Репетитор з англійської,Освіта
Придбав підручник з економіки,Освіта
Курс підвищення кваліфікації,Освіта
Уроки водіння в автошколі,Освіта
Семінар з веб-дизайну,Освіта
Курси англійської,Освіта
Оплата за іспит,Освіта
Підписка на навчальний портал,Освіта
Індивідуальні уроки,Освіта
Курси програмування,Освіта
Оплата за сесію,Освіта
Придбав навчальні посібники,Освіта
Тренінг,Освіта
Оплата за школу,Освіта
Уроки танців,Освіта
Підписка на Duolingo,Освіта
Вебінар,Освіта
Книги (професійна література),Освіта
Оплата навчання в університеті,Освіта
Курс англійської,Освіта
Репетитор з математики,Освіта
Придбав підручник (навчальна література),Освіта
Семінар з бізнесу,Освіта
Підписка на Coursera,Освіта
Уроки водіння,Освіта
Канцтовари для школи,Освіта
Оплата за іспит TOEFL,Освіта
Курс підвищення кваліфікації,Освіта
Курси,Освіта
Навчання,Освіта
Уроки,Освіта
Освіта,Освіта
Тренінг,Освіта
Семінар,Освіта
Репетитор,Освіта
Університет,Освіта
Книга (навчальна),Освіта
Школа,Освіта
